Jones,Donald,14-00,2016,PV,Eddy Meet,9
Jones,Robert,13-03,2013,PV,Colonial Council Championship,12
Vincent,Darrin,13-1.5,1990,PV,unknown,12
Peters,NA,13-00,2004,PV,unknown,12
Munninger,NA,12-6.25,1966,PV,unknown,12
Venditti,John,12-06,2015,PV,unknown,12
Hallenbeck,NA,12-06,1978,PV,unknown,12
Mahoney,NA,12-06,1981,PV,unknown,12
Bhatti,NA,12-06,2012,PV,unknown,12
Macmurray,NA,12-00,1973,PV,unknown,12
Casey,NA,12-00,1983,PV,unknown,12
Powell,NA,12-00,2004,PV,unknown,12
Broderick,NA,11-09,1990,PV,unknown,12
Spicer,NA,11-09,2000,PV,unknown,12
McCoy,NA,11-06,2015,PV,unknown,12
Bader,NA,11-06,1988,PV,unknown,12
Lawyer,NA,11-06,1990,PV,unknown,12
Duncan,NA,11-06,1993,PV,unknown,12
Brandow,NA,11-00,1975,PV,unknown,12
Berger,NA,11-00,1985,PV,unknown,12
Balzano,NA,11-00,1995,PV,unknown,12
Shubert,NA,11-00,2010,PV,unknown,12
Parks,William,10-06,1962,PV,unknown,12
Hunsdorfer,NA,10-06,1969,PV,unknown,12
Finn,NA,10-06,1970,PV,unknown,12
Ludwig,NA,10-06,1980,PV,unknown,12
Phillipe,NA,10-06,1992,PV,unknown,12
